 (Half Day),（半天）
Journal Entries,日记帐分录
Journal Entry,日记帐分录
Journal Voucher,记帐凭证
Journal Voucher Detail,日记帐凭证明细
Journal Voucher Detail No,日记帐凭证明细号
Journal Voucher {0} does not have account {1} or already matched,记账凭单{0}没有帐号{1}或已经匹配
Journal Vouchers {0} are un-linked,日记帐凭单{0}被取消链接
Keep a track of communication related to this enquiry which will help for future reference.,保留沟通记录将，有利于以后的跟进
Keep it web friendly 900px (w) by 100px (h),保持Web友好900px （宽）x 100像素（高）
Key Performance Area,关键绩效
Key Responsibility Area,关键责任
Kg,公斤
LR Date,货车日期
LR No,货车编号
Label,标签
Landed Cost Item,到岸成本项
Landed Cost Items,到岸成本项
Landed Cost Purchase Receipt,外购入库单到岸成本
Landed Cost Purchase Receipts,外购入库单到岸成本
Landed Cost Wizard,到岸成本向导
Landed Cost updated successfully,到岸成本成功更新
Language,语言
Last Name,名
Last Purchase Rate,上次采购价格
Latest,最新
Lead,潜在客户
Lead Details,潜在客户详情
Lead Id,销售引子
Lead Name,潜在客户名称
Lead Owner,潜在客户提供者
Lead Source,潜在客户来源
Lead Status,潜在客户状态
Lead Time Date,交货日期
Lead Time Days,交货期(天数)
Lead Time days is number of days by which this item is expected in your warehouse. This days is fetched in Material Request when you select this item.,交货期天数是商品从订货到进入您仓库的天数。这个天数在物料请求中选择这个商品时会被使用
Lead Type,潜在客户类型
Lead must be set if Opportunity is made from Lead,如果机会是由销售引子创建而来则销售引子必须创建出来
Leave Allocation,休假分配
Leave Allocation Tool,假期分配工具
Leave Application,休假申请
Leave Approver,休假审批人
Leave Approvers,休假审批人
Leave Balance Before Application,申请前剩余休假天数
Leave Block List,禁止休假列表
Leave Block List Allow,允许的Leave Block列表
Leave Block List Allowed,允许的Leave Block列表
Leave Block List Date,禁止休假日期列表
Leave Block List Dates,禁止休假日期列表
Leave Block List Name,禁止休假名称
Leave Blocked,禁止休假
Leave Control Panel,休假控制台
Leave Encashed?,未休假期已兑现?
Leave Encashment Amount,假期兑现金额
Leave Type,休假类型
Leave Type Name,休假类型名称
Leave Without Pay,无薪假
Leave application has been approved.,休假申请已被批准
Leave application has been rejected.,休假申请已被拒绝
Leave approver must be one of {0},休假审批人必须是{0}中的一个
Leave blank if considered for all branches,如果应用于所有分支请留空
Leave blank if considered for all departments,如果应用于所有部门请留空
Leave blank if considered for all designations,如果应用于所有职位请留空
Leave blank if considered for all employee types,如果应用于员工类型请留空
"Leave can be approved by users with Role, ""Leave Approver""",休假申请须由“休假审批”角色的用户进行审批
Leave of type {0} cannot be longer than {1},休假类型{0}不能长于{1}
Leaves Allocated Successfully for {0},{0}已被成功分配休假类别
Leaves for type {0} already allocated for Employee {1} for Fiscal Year {0},财政年度:{2}的休假类别:{0}已分配给员工{1}
Leaves must be allocated in multiples of 0.5,休假时间必须是0.5的倍数
Ledger,分类账
Ledgers,分类账
Left,离开
Legal,法律
Legal Expenses,法律费用
Letter Head,抬头
Letter Heads for print templates.,打印模板的抬头
Level,级别
Lft,Lft
Liability,债务
List a few of your customers. They could be organizations or individuals.,列出一些你的客户;他们可以是组织或个人
List a few of your suppliers. They could be organizations or individuals.,列出一些你的供应商;他们可以是组织或个人
List items that form the package.,套餐内商品
List this Item in multiple groups on the website.,在网站上将此商品在多个组中显示出来
"List your products or services that you buy or sell. Make sure to check the Item Group, Unit of Measure and other properties when you start.",列出你买或者卖的产品和服务;请确保勾选商品组;单位以及其他一些属性
"List your tax heads (e.g. VAT, Excise; they should have unique names) and their standard rates. This will create a standard template, which you can edit and add more later.",列出你的税种（如增值税，消费税，他们应该有唯一的名称）及其标准费率
Loading...,载入中...
Loans (Liabilities),借款(负债)
Loans and Advances (Assets),贷款及垫款(资产)
Local,本地
Login,登录
Login with your new User ID,用你的新的用户ID登录
Logo,Logo
Logo and Letter Heads,和信头
Lost,失标
Lost Reason,失标的原因
Low,低
Lower Income,较低的收入
MTN Details,MTN详情
Main,主要的
Main Reports,主报表
Maintain Same Rate Throughout Sales Cycle,在销售周期内保持相同的价格
Maintain same rate throughout purchase cycle,在采购周期内保持相同的价格
Maintenance,维保
Maintenance Date,维保日期
Maintenance Details,维保细节
Maintenance Schedule,维保计划
Maintenance Schedule Detail,维保计划细节
Maintenance Schedule Item,维保计划项
Maintenance Schedule is not generated for all the items. Please click on 'Generate Schedule',不是所有的商品有维保计划产生出来。请点击'产生计划表'
Maintenance Schedule {0} exists against {0},{0}的维保时间表{0}存在
Maintenance Schedule {0} must be cancelled before cancelling this Sales Order,取消这个销售订单之前必须取消维保计划表{0}
Maintenance Schedules,维保时间表
Maintenance Status,维保状态
Maintenance Time,维保时间
Maintenance Type,维保类型
Maintenance Visit,维保访问
Maintenance Visit Purpose,维保访问目标
Maintenance Visit {0} must be cancelled before cancelling this Sales Order,取消这个销售订单之前必须取消维保访问{0}
Maintenance start date can not be before delivery date for Serial No {0},序列号{0}维护开始日期不能早于交付日期
Major/Optional Subjects,主修 / 选修
Make ,使用/创建
Make Accounting Entry For Every Stock Movement,每次库存转移都进行财务记录
Make Bank Voucher,创建银行凭证
Make Credit Note,创建贷方凭证(应付款通知单)
Make Debit Note,创建借记通知单
Make Delivery,创建发货单
Make Difference Entry,创建差异记录
Make Excise Invoice,创建消费税发票
Make Installation Note,创建安装注意事项
Make Invoice,创建发票
Make Maint. Schedule,创建维保计划
Make Maint. Visit,创建维保访问
Make Maintenance Visit,创建维保访问
Make Packing Slip,创建装箱单
Make Payment,进行付款
Make Payment Entry,付款项
Make Purchase Invoice,创建采购发票
Make Purchase Order,创建采购订单
Make Purchase Receipt,创建采购收据
Make Salary Slip,创建工资单
Make Salary Structure,创建薪酬结构
Make Sales Invoice,创建销售发票
Make Sales Order,创建销售订单
Make Supplier Quotation,供应商报价
Make Time Log Batch,批量创建时间记录
Male,男
Manage Customer Group Tree.,管理客户组树形结构
Manage Sales Partners.,管理销售合作伙伴。
Manage Sales Person Tree.,管理销售人员树形结构
Manage Territory Tree.,管理区域树形结构
Manage cost of operations,管理运营成本
Management,管理
Manager,经理
"Mandatory if Stock Item is ""Yes"". Also the default warehouse where reserved quantity is set from Sales Order.",如果是库存项目则必填并且默认的仓库由销售订单指明
Manufacture against Sales Order,生产销售订单中的商品
Manufacture/Repack,生产/重新打包
Manufactured Qty,生产数量
Manufactured quantity will be updated in this warehouse,生产数量将更新到此仓库
Manufactured quantity {0} cannot be greater than planned quanitity {1} in Production Order {2},生产订单{2}的制作的数量{0}不能大于计划的数量{1}
Manufacturer,生产厂家
Manufacturer Part Number,制造商零件编号
Manufacturing,生产
Manufacturing Quantity,生产数量
Manufacturing Quantity is mandatory,生产数量是必填的
Margin,Margin
Marital Status,婚姻状况
Market Segment,市场分类
Marketing,市场营销
Marketing Expenses,市场推广费用
Married,已婚
Mass Mailing,邮件群发
Master Name,基础数据名称
Master Name is mandatory if account type is Warehouse,如果帐户类型为仓库则基础数据名称是强制性的
Master Type,基础数据类型
Masters,基础数据
Match non-linked Invoices and Payments.,匹配无关联的发票和付款
Material Issue,物料发放
